State,FIPS2,Year,Percent Obese (BMI >= 30),Percent Overweight (BMI 25.0 - 29.9),Neither overweight nor obese (BMI <= 24.9)
Kentucky,21,2005,28.6,36.3,35.1
Louisiana,22,2005,30.8,33.8,35.4
Maine,23,2005,22.7,36.9,40.4
Maryland,24,2005,24.4,36.7,38.9
Massachusetts,25,2005,20.7,35.4,43.9
Michigan,26,2005,26.2,36.3,37.5
Minnesota,27,2005,23.7,37.2,39.1
Mississippi,28,2005,30.9,36.4,32.7
Missouri,29,2005,26.9,37,36.1
Montana,30,2005,21.3,36.2,42.5
Nebraska,31,2005,26,37.2,36.8
Nevada,32,2005,21.2,37.6,41.2
New Hampshire,33,2005,23.1,36.8,40.1
New Jersey,34,2005,22.1,37.1,40.8
New Mexico,35,2005,21.7,38.6,39.7
New York,36,2005,22.2,37.6,40.2
North Carolina,37,2005,25.9,36.7,37.4
North Dakota,38,2005,25.4,38.8,35.8
Ohio,39,2005,24.3,38.1,37.6
Oklahoma,40,2005,26.8,36.1,37.1
Oregon,41,2005,23.8,35.9,40.3
Pennsylvania,42,2005,25.3,36.6,38.1
Rhode Island,44,2005,21,38.2,40.8
South Carolina,45,2005,29.1,35.5,35.4
South Dakota,46,2005,25.5,37.3,37.2
Tennessee,47,2005,27.4,34.9,37.7
Texas,48,2005,27,37.1,35.9
Utah,49,2005,21.2,35,43.8
Vermont,50,2005,20.2,35.6,44.2
Virginia,51,2005,25.1,36.1,38.8
Washington,53,2005,23.3,36.1,40.6
West Virginia,54,2005,30.6,34.8,34.6
Wisconsin,55,2005,24.4,37.1,38.5
Wyoming,56,2005,24.2,37.4,38.4
Alabama,01,2006,30.5,34.5,35
Alaska,02,2006,26.2,38,35.8
Arizona,04,2006,22.9,36.7,40.4
Arkansas,05,2006,26.9,36.9,36.2
California,06,2006,23.3,35.5,41.2
Colorado,08,2006,18.2,36.7,45.1
Connecticut,09,2006,20.6,38.2,41.2
Delaware,10,2006,26,37.8,36.2
Florida,12,2006,23.1,36.5,40.4
Georgia,13,2006,27.1,34.6,38.3
Idaho,16,2006,24.1,35.6,40.3
Illinois,17,2006,25.1,36.6,38.3
Indiana,18,2006,27.8,35,37.2
Iowa,19,2006,25.7,37.2,37.1
Kansas,20,2006,25.9,36.4,37.7
Kentucky,21,2006,28,38.4,33.6
Louisiana,22,2006,27.1,35.9,37
Maine,23,2006,23.1,36.6,40.3
Maryland,24,2006,24.9,35.8,39.3
Massachusetts,25,2006,20.3,35.2,44.5
Michigan,26,2006,28.8,36,35.2
Minnesota,27,2006,24.7,38,37.3
Mississippi,28,2006,31.4,35.3,33.3
Missouri,29,2006,27.2,35.7,37.1
Montana,30,2006,21.2,38.1,40.7
Nebraska,31,2006,26.9,37,36.1
Nevada,32,2006,25,38.6,36.4
New Hampshire,33,2006,22.4,38.3,39.3
New Jersey,34,2006,22.6,37.3,40.1
New Mexico,35,2006,22.9,36.9,40.2
New York,36,2006,22.9,35.4,41.7
North Carolina,37,2006,26.6,36.2,37.2
North Dakota,38,2006,25.4,39.1,35.5
Ohio,39,2006,28.4,35.5,36.1
Oklahoma,40,2006,28.8,36,35.2
Oregon,41,2006,24.8,35.9,39.3
Pennsylvania,42,2006,24,37.3,38.7
Rhode Island,44,2006,21.4,39.6,39
South Carolina,45,2006,29.4,36,34.6
South Dakota,46,2006,25.4,38.7,35.9
Tennessee,47,2006,28.8,36.5,34.7
Texas,48,2006,26.1,36.3,37.6
Utah,49,2006,21.9,33,45.1
Vermont,50,2006,21.2,34.8,44
Virginia,51,2006,25.1,36.7,38.2
Washington,53,2006,24.2,36.5,39.3
West Virginia,54,2006,31,36,33
Wisconsin,55,2006,26.6,36.8,36.6
Wyoming,56,2006,23.3,38.1,38.6
Alabama,01,2007,30.9,35.7,33.4
Alaska,02,2007,28.2,36.9,34.9
Arizona,04,2007,25.8,36.8,37.4
Arkansas,05,2007,29.3,36.3,34.4
California,06,2007,23.3,35.7,41
Colorado,08,2007,19.3,36.4,44.3
Connecticut,09,2007,21.7,37.5,40.8
Delaware,10,2007,28.2,36.8,35
Florida,12,2007,24.1,38,37.9
Georgia,13,2007,28.7,36.3,35
Idaho,16,2007,25.1,38,36.9
Illinois,17,2007,25.6,37.4,37
Indiana,18,2007,27.4,35.8,36.8
Iowa,19,2007,27.7,37,35.3
Kansas,20,2007,27.7,36.1,36.2
Kentucky,21,2007,28.7,40.4,30.9
Louisiana,22,2007,30.7,34.5,34.8
Maine,23,2007,25.2,37.7,37.1
Maryland,24,2007,26.3,36.4,37.3
Massachusetts,25,2007,21.7,37.2,41.1
Michigan,26,2007,28.2,36.1,35.7
Minnesota,27,2007,26,36,38
Mississippi,28,2007,32.6,35.5,31.9
Missouri,29,2007,28.2,35.1,36.7
Montana,30,2007,22.6,39.2,38.2
Nebraska,31,2007,26.5,38.2,35.3
Nevada,32,2007,24.6,38.4,37
New Hampshire,33,2007,25.1,36.7,38.2
New Jersey,34,2007,24.1,38.2,37.7
New Mexico,35,2007,25.1,35.7,39.2
New York,36,2007,25.5,36.4,38.1
North Carolina,37,2007,28.7,35.9,35.4
North Dakota,38,2007,27,37.9,35.1
Ohio,39,2007,28.1,35.4,36.5
Oklahoma,40,2007,28.8,36.3,34.9
Oregon,41,2007,26.3,35.7,38
Pennsylvania,42,2007,27.8,34.9,37.3
Rhode Island,44,2007,21.7,39.1,39.2
South Carolina,45,2007,29,36.3,34.7
South Dakota,46,2007,27.2,38.3,34.5
